time,open,high,low,close
1725228000,1.1054,1.10545,1.10515,1.1054
1725228900,1.1054,1.1056,1.1054,1.10545
1725229800,1.1055,1.1057,1.10545,1.1056
1725230700,1.10565,1.10565,1.1053,1.1053
1725231600,1.10535,1.10545,1.10525,1.1054
1725232500,1.1054,1.10545,1.1052,1.1053
1725233400,1.10535,1.10545,1.10515,1.10515
1725234300,1.1052,1.1053,1.10515,1.1052
1725235200,1.10515,1.1053,1.1049,1.10525
1725236100,1.1053,1.10585,1.1053,1.1058
1725237000,1.1058,1.10615,1.1058,1.10605
1725237900,1.1061,1.1063,1.10595,1.10605
1725238800,1.1061,1.1063,1.1058,1.10585
1725239700,1.10585,1.10625,1.10585,1.1061
1725240600,1.1061,1.10625,1.106,1.10605
1725241500,1.1061,1.1062,1.10575,1.10585
1725242400,1.10585,1.10585,1.10545,1.10545
1725243300,1.1055,1.1056,1.10535,1.10535
1725244200,1.10535,1.10585,1.10535,1.10585
1725245100,1.10585,1.10605,1.10585,1.1059
1725246000,1.1059,1.10595,1.10575,1.1059
1725246900,1.10595,1.10615,1.1059,1.10615
1725247800,1.10615,1.10625,1.10605,1.1061
1725248700,1.1061,1.10615,1.1056,1.1056
1725249600,1.1056,1.1056,1.1051,1.1053
1725250500,1.1053,1.1055,1.10525,1.1055
1725251400,1.1055,1.10555,1.10535,1.1054
1725252300,1.1054,1.10555,1.10535,1.10555
1725253200,1.1055,1.1055,1.10525,1.1054
1725254100,1.10545,1.1059,1.10535,1.1059
1725255000,1.1059,1.1061,1.10585,1.1061
1725255900,1.10605,1.10635,1.106,1.10625
1725256800,1.10625,1.1065,1.1062,1.1064
1725257700,1.10635,1.1067,1.1062,1.1066
1725258600,1.1066,1.1073,1.1065,1.10715
1725259500,1.10715,1.1077,1.10715,1.1073
1725260400,1.1073,1.1073,1.10685,1.1069
1725261300,1.1069,1.10705,1.10635,1.10635
1725262200,1.10635,1.1068,1.1063,1.1068
1725263100,1.10685,1.1076,1.10665,1.1074
1725264000,1.10735,1.1084,1.10735,1.1083
1725264900,1.10835,1.1085,1.10785,1.10795
1725265800,1.10795,1.10825,1.1078,1.10795
1725266700,1.1079,1.1079,1.10715,1.1075
1725267600,1.1075,1.1075,1.10705,1.10725
1725268500,1.10725,1.10775,1.10715,1.1077
1725269400,1.1077,1.108,1.10735,1.1078
