time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
1739142000,1.0315,1.03175,1.03065,1.0316,904,NaN,0,904,0,904,904,0,904,596141
1739142060,1.0316,1.03195,1.0315,1.03195,307,NaN,0,307,0,307,307,0,307,596141
1739142120,1.03195,1.032,1.03185,1.0319,125,NaN,0,0,-125,-125,0,-125,-125,596141
1739142180,1.032,1.03255,1.03195,1.03255,280,NaN,0,280,0,280,280,0,280,596141
1739142240,1.0325,1.0327,1.0323,1.0324,95,NaN,0,0,-95,-95,0,-95,-95,596141
1739142300,1.03245,1.0325,1.0321,1.03215,88,NaN,0,0,-88,-88,0,-88,-88,596141
1739142360,1.0322,1.03245,1.03215,1.0323,100,NaN,0,100,0,100,100,0,100,596141
1739142420,1.0324,1.0324,1.0323,1.03235,26,NaN,0,0,-26,-26,0,-26,-26,596141
1739142480,1.03235,1.03235,1.03215,1.03215,32,NaN,0,0,-32,-32,0,-32,-32,596141
1739142540,1.03215,1.03225,1.03215,1.03225,10,NaN,0,10,0,10,10,0,10,596141
1739142600,1.0323,1.03245,1.03215,1.03245,92,NaN,0,92,0,92,92,0,92,596141
1739142660,1.0324,1.0326,1.0324,1.03245,82,NaN,0,82,0,82,82,0,82,596141
1739142720,1.03245,1.0326,1.03245,1.0325,47,NaN,0,47,0,47,47,0,47,596141
1739142780,1.03255,1.0326,1.0325,1.03255,14,NaN,0,14,0,14,14,0,14,596141
1739142840,1.03245,1.0326,1.03235,1.0326,54,NaN,0,54,0,54,54,0,54,596141
1739142900,1.0326,1.0328,1.03255,1.03275,86,NaN,0,86,0,86,86,0,86,596141
1739142960,1.03275,1.0328,1.0327,1.0328,64,NaN,0,64,0,64,64,0,64,596141
1739143020,1.0328,1.0328,1.0327,1.0327,29,NaN,0,0,-29,-29,0,-29,-29,596141
1739143080,1.03275,1.03275,1.03255,1.03255,76,NaN,0,0,-76,-76,0,-76,-76,596141
1739143140,1.0326,1.03275,1.0326,1.03275,28,126.95,0,28,0,28,28,0,28,596141
1739143200,1.03275,1.03275,1.03265,1.03275,27,83.1,0,27,0,27,27,0,27,596141
1739143260,1.03265,1.03265,1.0326,1.03265,17,68.6,0,0,-17,-17,0,-17,-17,596141
1739143320,1.0327,1.0328,1.0327,1.0328,15,63.1,0,15,0,15,15,0,15,596141
1739143380,1.03285,1.03285,1.03275,1.0328,28,50.5,0,0,-28,-28,0,-28,-28,596141
1739143440,1.03285,1.03285,1.0327,1.0328,35,47.5,0,0,-35,-35,0,-35,-35,596141
1739143500,1.0328,1.0328,1.0326,1.0327,41,45.15,0,0,-41,-41,0,-41,-41,596141
1739143560,1.03265,1.0327,1.03265,1.0327,17,41,0,17,0,17,17,0,17,596141
1739143620,1.0327,1.0327,1.0326,1.03265,18,40.6,0,0,-18,-18,0,-18,-18,596141
1739143680,1.03265,1.03275,1.0326,1.0326,38,40.9,0,0,-38,-38,0,-38,-38,596141
1739143740,1.03265,1.0327,1.0326,1.03265,13,41.05,0,13,0,13,13,0,13,596141
1739143800,1.0327,1.03275,1.0327,1.0327,21,37.5,0,21,0,21,21,0,21,596141
1739143860,1.03275,1.03275,1.03265,1.03275,36,35.2,0,36,0,36,36,0,36,596141
1739143920,1.03265,1.03285,1.03265,1.0328,27,34.2,0,27,0,27,27,0,27,596141
1739143980,1.03285,1.0329,1.0328,1.0329,24,34.7,0,24,0,24,24,0,24,596141
1739144040,1.03285,1.0329,1.03275,1.0328,15,32.75,0,0,-15,-15,0,-15,-15,596141
1739144100,1.03285,1.0329,1.03285,1.0329,23,29.6,0,23,0,23,23,0,23,596141
1739144160,1.0329,1.033,1.0329,1.03295,69,29.85,0,69,0,69,69,0,69,596141
1739144220,1.03295,1.033,1.03295,1.033,24,29.6,0,24,0,24,24,0,24,596141
1739144280,1.03295,1.033,1.03285,1.03285,27,27.15,0,0,-27,-27,0,-27,-27,596141
1739144340,1.03285,1.03295,1.03285,1.03295,12,26.35,0,12,0,12,12,0,12,596141
1739144400,1.03295,1.033,1.0329,1.033,18,25.9,0,18,0,18,18,0,18,596141
1739144460,1.033,1.033,1.03295,1.033,19,26,0,19,0,19,19,0,19,596141
1739144520,1.033,1.033,1.03295,1.033,15,26,0,15,0,15,15,0,15,596141
1739144580,1.033,1.033,1.0329,1.03295,11,25.15,0,0,-11,-11,0,-11,-11,596141
1739144640,1.03285,1.0329,1.03285,1.0329,22,24.5,0,22,0,22,22,0,22,596141
1739144700,1.03285,1.033,1.03285,1.0329,40,24.45,0,40,0,40,40,0,40,596141
1739144760,1.03285,1.03295,1.03285,1.03285,37,25.45,0,0,-37,-37,0,-37,-37,596141
1739144820,1.03285,1.03295,1.03285,1.0329,30,26.05,0,30,0,30,30,0,30,596141
1739144880,1.03295,1.03305,1.03295,1.03295,29,25.6,0,29,0,29,29,0,29,596141
1739144940,1.033,1.033,1.03285,1.03285,23,26.1,0,0,-23,-23,0,-23,-23,596141
1739145000,1.0329,1.0329,1.03275,1.03275,19,26,0,0,-19,-19,0,-19,-19,596141
1739145060,1.03275,1.0328,1.0327,1.03275,13,24.85,0,0,-13,-13,0,-13,-13,596141
1739145120,1.03275,1.0329,1.0327,1.03285,64,26.7,0,64,0,64,64,0,64,596141
1739145180,1.0328,1.0329,1.0328,1.0328,28,26.9,0,0,-28,-28,0,-28,-28,596141
1739145240,1.0329,1.0331,1.03275,1.0331,73,29.8,0,73,0,73,73,0,73,596141
1739145300,1.0331,1.0331,1.0329,1.03295,26,29.95,0,0,-26,-26,0,-26,-26,596141
1739145360,1.033,1.033,1.03295,1.03295,11,27.05,0,0,-11,-11,0,-11,-11,596141
1739145420,1.03295,1.033,1.03285,1.03285,27,27.2,0,0,-27,-27,0,-27,-27,596141
1739145480,1.0329,1.0329,1.0328,1.03285,20,26.85,0,0,-20,-20,0,-20,-20,596141
1739145540,1.0329,1.0329,1.03275,1.03275,19,27.2,0,0,-19,-19,0,-19,-19,596141
1739145600,1.0327,1.03285,1.0327,1.03285,57,29.15,0,57,0,57,57,0,57,596141
1739145660,1.0328,1.033,1.0328,1.03295,66,31.5,0,66,0,66,66,0,66,596141
