time,open,high,low,close
1514847600,1.207,1.20765,1.20565,1.20635
1514862000,1.20635,1.2084,1.20635,1.20825
1514876400,1.20815,1.2135,1.20775,1.21215
1514890800,1.21215,1.21235,1.20885,1.2092
1514905200,1.20925,1.21125,1.20795,1.20975
1514919600,1.20975,1.2118,1.20965,1.211
1514934000,1.21085,1.21185,1.20945,1.2095
1514948400,1.2095,1.2113,1.20945,1.20975
1514962800,1.20975,1.2101,1.20675,1.207
1514977200,1.207,1.2087,1.2063,1.2071
1514991600,1.2069,1.2085,1.20555,1.20805
1515006000,1.20805,1.20835,1.20535,1.2067
1515020400,1.2064,1.20695,1.2055,1.2068
1515034800,1.20685,1.2089,1.2063,1.2078
1515049200,1.2078,1.2107,1.2072,1.21025
1515063600,1.2102,1.2137,1.2098,1.2133
1515078000,1.2133,1.21405,1.21115,1.21155
1515092400,1.21155,1.21245,1.21145,1.21195
1515106800,1.21215,1.21295,1.2115,1.2121
1515121200,1.2121,1.21255,1.21065,1.2107
1515135600,1.21075,1.2117,1.2092,1.21
1515150000,1.21,1.2133,1.2075,1.208
1515164400,1.208,1.20995,1.20705,1.20955
1515178800,1.2096,1.2101,1.20715,1.2078
1515366000,1.2081,1.2102,1.20805,1.20855
1515380400,1.20855,1.20855,1.2062,1.2064
1515394800,1.20635,1.2064,1.2033,1.2053
1515409200,1.2053,1.20555,1.2015,1.2016
1515423600,1.2016,1.2031,1.2006,1.2011
1515438000,1.20115,1.20175,1.2005,1.20155
1515452400,1.20145,1.20235,1.2006,1.20205
1515466800,1.20205,1.2023,1.1999,1.2004
1515481200,1.20045,1.2019,1.19735,1.19765
1515495600,1.1976,1.19845,1.1964,1.1966
1515510000,1.1966,1.1982,1.19645,1.1979
1515524400,1.1979,1.19875,1.1973,1.19845
1515538800,1.1985,1.19965,1.19755,1.1996
1515553200,1.19955,1.1997,1.1971,1.1977
1515567600,1.19765,1.20485,1.19755,1.20425
1515582000,1.2043,1.2066,1.20215,1.2034
1515596400,1.20335,1.2044,1.1999,1.20065
1515610800,1.20065,1.20135,1.19875,1.1996
1515625200,1.1995,1.2014,1.1993,1.2012
1515639600,1.20115,1.2015,1.1982,1.19875
1515654000,1.1987,1.1997,1.19745,1.1992
1515668400,1.1992,1.20955,1.19815,1.20935
1515682800,1.2094,1.21055,1.2076,1.20825
1515697200,1.2083,1.20915,1.20735,1.20775
1515711600,1.20825,1.21125,1.20765,1.2093
1515726000,1.2093,1.2103,1.20855,1.2094
1515740400,1.20935,1.2183,1.20915,1.2164
1515754800,1.2165,1.2196,1.2157,1.21835
1515769200,1.2184,1.2213,1.21685,1.2209
1515783600,1.22085,1.22655,1.2207,1.22475
1515970800,1.22495,1.2258,1.2233,1.22405
1515985200,1.224,1.22855,1.2238,1.2254
1515999600,1.2254,1.23425,1.22465,1.23205
1516014000,1.23205,1.2337,1.22975,1.2308
1516028400,1.2308,1.23405,1.23005,1.2317
1516057200,1.2311,1.2325,1.2293,1.2313
1516071600,1.2313,1.23285,1.2301,1.23125
1516086000,1.23125,1.2313,1.22465,1.2258
1516100400,1.22585,1.2286,1.22405,1.22545
1516114800,1.22545,1.2315,1.22525,1.23125
1516129200,1.23125,1.23265,1.22995,1.2306
1516143600,1.23015,1.23685,1.23005,1.23135
1516158000,1.23135,1.23205,1.226,1.2265
1516172400,1.22655,1.2295,1.22535,1.228
1516186800,1.22795,1.22825,1.22415,1.2267
1516201200,1.22675,1.23325,1.2261,1.23215
1516215600,1.2322,1.2322,1.22225,1.223
1516230000,1.22125,1.2247,1.2209,1.2236
1516244400,1.22365,1.22525,1.2216,1.225
1516258800,1.225,1.2272,1.2229,1.227
1516273200,1.227,1.23085,1.2269,1.2303
1516287600,1.2303,1.23035,1.2262,1.22675
1516302000,1.22685,1.229,1.22675,1.2281
1516316400,1.22845,1.22975,1.2273,1.22865
1516330800,1.22865,1.23115,1.22845,1.23005
1516345200,1.23005,1.2337,1.2293,1.2316
1516359600,1.2316,1.2319,1.2272,1.2293
1516374000,1.22925,1.2304,1.226,1.22745
1516388400,1.22745,1.22805,1.2256,1.22565
1516575600,1.2298,1.23015,1.22665,1.2278
1516590000,1.22775,1.22785,1.2255,1.22575
1516604400,1.22575,1.2309,1.22565,1.23035
1516618800,1.2304,1.2305,1.22755,1.2282
1516633200,1.2282,1.23025,1.2266,1.2291
1516647600,1.22915,1.2305,1.22895,1.2304
1516662000,1.23005,1.23165,1.2292,1.2302
1516676400,1.2302,1.23175,1.22845,1.2289
1516690800,1.22885,1.2297,1.22635,1.22875
1516705200,1.2288,1.23245,1.22745,1.2319
1516719600,1.23195,1.2347,1.23115,1.23215
1516734000,1.2322,1.23405,1.2321,1.234
1516748400,1.23375,1.2358,1.2329,1.235
1516762800,1.23495,1.23755,1.2341,1.235
1516777200,1.235,1.23965,1.23435,1.23775
1516791600,1.2378,1.2437,1.23695,1.2433
1516806000,1.24335,1.24555,1.2417,1.24525
1516820400,1.24525,1.24555,1.2435,1.24465
1516834800,1.24395,1.2466,1.24225,1.2461
1516849200,1.24605,1.24975,1.2458,1.2474
1516863600,1.24735,1.2481,1.24265,1.24515
1516878000,1.24515,1.25765,1.2435,1.2529
1516892400,1.25285,1.2569,1.2512,1.25225
1516906800,1.25225,1.2526,1.2402,1.24315
1516921200,1.2414,1.24705,1.241,1.2464
1516935600,1.24635,1.24895,1.245,1.2488
1516950000,1.24875,1.2531,1.248,1.24965
1516964400,1.24965,1.2503,1.2451,1.24795
1516978800,1.24795,1.2488,1.24445,1.24825
1516993200,1.2482,1.2486,1.24435,1.24685
1517180400,1.24555,1.2469,1.24225,1.2437
1517194800,1.24375,1.2464,1.24345,1.24535
1517209200,1.2435,1.2465,1.24255,1.24415
1517223600,1.24415,1.2442,1.2383,1.239
1517238000,1.239,1.2418,1.2374,1.2415
1517252400,1.2415,1.2428,1.2411,1.2419
1517266800,1.24205,1.2425,1.23965,1.24055
1517281200,1.2406,1.2423,1.23835,1.2385
1517295600,1.2385,1.24615,1.23715,1.245
1517310000,1.245,1.2491,1.2441,1.24785
1517324400,1.24785,1.24795,1.242,1.2432
1517338800,1.2432,1.24425,1.24255,1.2439
1517353200,1.24385,1.24605,1.2432,1.245
1517367600,1.245,1.2486,1.24495,1.2485
1517382000,1.24855,1.24985,1.2461,1.248
1517396400,1.24795,1.2509,1.2477,1.24955
1517410800,1.2495,1.2511,1.2443,1.2457
1517425200,1.2458,1.24755,1.24225,1.245
1517439600,1.24475,1.24625,1.24395,1.2452
1517454000,1.2452,1.24625,1.24275,1.24285
1517468400,1.24285,1.24855,1.2419,1.24645
1517482800,1.2465,1.24975,1.24595,1.24765
