time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
1325574000,1.3047,1.3068,1.302,1.3047,54449,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,282768
1325602800,1.3045,1.3085,1.3039,1.3058,77628,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,280981
1325631600,1.3058,1.3063,1.3029,1.3049,10372,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,280981
1325660400,1.3048,1.308,1.2938,1.2966,127920,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,280981
1325689200,1.2966,1.2967,1.2904,1.2955,75655,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291420
1325718000,1.2947,1.2951,1.2917,1.2926,11771,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291420
1325746800,1.2926,1.2952,1.2791,1.281,154948,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291420
1325775600,1.281,1.2823,1.2777,1.2794,95268,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,296662
1325804400,1.2798,1.2808,1.277,1.2788,12351,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,296662
1325833200,1.2788,1.282,1.2711,1.2723,140506,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,296662
1325862000,1.2723,1.2739,1.2703,1.2722,73409,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291543
1326063600,1.27,1.2735,1.2673,1.2727,16331,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291543
1326092400,1.2727,1.2791,1.2726,1.2745,102604,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291543
1326121200,1.2745,1.2783,1.2726,1.2773,65819,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,288544
1326150000,1.2773,1.2803,1.2766,1.2791,13161,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,288544
1326178800,1.279,1.2824,1.2747,1.279,121596,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,288544
1326207600,1.2789,1.2807,1.2767,1.278,72377,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291573
1326236400,1.2778,1.2779,1.2732,1.2762,15237,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291573
1326265200,1.2761,1.2794,1.2676,1.268,177944,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,291573
1326294000,1.2679,1.2716,1.2664,1.2712,93938,75664.2,0,NaN,NaN,NaN,NaN,NaN,NaN,296418
1326322800,1.2713,1.2732,1.2705,1.272,13045,73594,0,NaN,NaN,NaN,NaN,NaN,NaN,296418
1326351600,1.2719,1.2827,1.2702,1.2821,187953,79110.25,0,NaN,NaN,NaN,NaN,NaN,NaN,296418
1326380400,1.2821,1.2848,1.2792,1.2817,113376,84260.45,0,NaN,NaN,NaN,NaN,NaN,NaN,290209
1326409200,1.2816,1.2884,1.2813,1.2862,22801,79004.5,0,NaN,NaN,NaN,NaN,NaN,NaN,290209
1326438000,1.2863,1.2877,1.2674,1.2681,222088,86326.15,0,NaN,NaN,NaN,NaN,NaN,NaN,290209
1326466800,1.268,1.2699,1.2627,1.2682,147876,93131.4,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326668400,1.2642,1.2663,1.2628,1.2657,16560,86212,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326697200,1.2657,1.2686,1.2643,1.2678,63245,84610.85,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326726000,1.2678,1.2692,1.2656,1.2656,9862,84486.4,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326754800,1.2655,1.274,1.2651,1.273,23005,78611.35,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326783600,1.2731,1.282,1.2713,1.2725,180101,83945.95,0,NaN,NaN,NaN,NaN,NaN,NaN,301762
1326812400,1.2725,1.2756,1.2716,1.2738,78611,87059.95,0,NaN,NaN,NaN,NaN,NaN,NaN,297914
1326841200,1.2741,1.279,1.274,1.2763,15830,82721.25,0,NaN,NaN,NaN,NaN,NaN,NaN,297914
1326870000,1.2762,1.2849,1.2736,1.2839,220241,90442.35,0,NaN,NaN,NaN,NaN,NaN,NaN,297914
1326898800,1.2839,1.2872,1.2809,1.2868,113035,95436.05,0,NaN,NaN,NaN,NaN,NaN,NaN,303769
1326927600,1.2856,1.2882,1.2844,1.2862,16415,90177,0,NaN,NaN,NaN,NaN,NaN,NaN,303769
1326956400,1.286,1.293,1.2841,1.2896,150841,94100.2,0,NaN,NaN,NaN,NaN,NaN,NaN,303769
1326985200,1.2895,1.2975,1.2877,1.2969,112379,98957.3,0,NaN,NaN,NaN,NaN,NaN,NaN,303569
