time,open,high,low,close
968709600,0.878,0.878,0.873,0.873
968796000,0.8765,0.8771,0.875,0.8771
968968800,0.8715,0.8715,0.8715,0.8715
969228000,0.8715,0.8715,0.8675,0.8675
969314400,0.8715,0.8715,0.8635,0.8665
969400800,0.8715,0.8715,0.8595,0.8625
969487200,0.8715,0.872,0.8595,0.87
969573600,0.9015,0.9015,0.8935,0.9015
969832800,0.9015,0.9015,0.8865,0.8885
969919200,0.9015,0.9015,0.8865,0.894
970005600,0.9015,0.9015,0.894,0.8959
970092000,0.9015,0.9015,0.897,0.897
970178400,0.897,0.897,0.89,0.8953
970437600,0.8953,0.8965,0.8935,0.8935
970524000,0.8935,0.8965,0.888,0.888
970610400,0.889,0.889,0.887,0.889
970696800,0.889,0.889,0.888,0.888
970783200,0.8825,0.883,0.8808,0.8808
971128800,0.8825,0.884,0.8808,0.884
971215200,0.8825,0.8842,0.8825,0.8842
971301600,0.8825,0.8842,0.8755,0.8755
971388000,0.8825,0.8842,0.8675,0.8675
971647200,0.861,0.8615,0.861,0.861
971733600,0.861,0.866,0.861,0.866
971820000,0.8445,0.8495,0.8445,0.845
971906400,0.8445,0.8545,0.8445,0.8545
971992800,0.85,0.8532,0.85,0.85
972252000,0.85,0.8528,0.85,0.8528
972338400,0.85,0.85,0.845,0.847
972424800,0.84,0.84,0.838,0.838
972511200,0.84,0.84,0.8377,0.8377
972597600,0.84,0.8513,0.84,0.8513
972860400,0.853,0.853,0.853,0.853
972946800,0.859,0.8595,0.8585,0.8586
973033200,0.871,0.871,0.859,0.8593
973119600,0.8712,0.8712,0.8712,0.8712
973206000,0.875,0.876,0.875,0.875
973465200,0.84,0.876,0.84,0.8697
973551600,0.84,0.872,0.84,0.871
973638000,0.84,0.872,0.84,0.8655
973724400,0.84,0.8735,0.84,0.8735
973810800,0.84,0.8735,0.84,0.873
974070000,0.8716,0.8716,0.8716,0.8716
974156400,0.84,0.8685,0.84,0.8685
974242800,0.869,0.8695,0.867,0.8671
974329200,0.8682,0.8682,0.8682,0.8682
974415600,0.84,0.8682,0.84,0.8595
974674800,0.84,0.8585,0.84,0.8585
974761200,0.8595,0.8595,0.8537,0.856
974847600,0.8595,0.8595,0.8522,0.8547
975020400,0.85,0.8501,0.85,0.8501
975279600,0.85,0.861,0.85,0.861
975366000,0.85,0.8665,0.85,0.8661
975452400,0.8657,0.8725,0.8657,0.8675
975538800,0.8657,0.88,0.8657,0.88
975625200,0.88,0.8875,0.88,0.8821
975884400,0.8821,0.9,0.8821,0.8972
975970800,0.9,0.9,0.892,0.892
976057200,0.9,0.9,0.8906,0.8906
976143600,0.9,0.905,0.8992,0.9028
976230000,0.9028,0.905,0.8952,0.8952
976489200,0.9028,0.905,0.888,0.888
976575600,0.9028,0.9028,0.8869,0.8869
976662000,0.8869,0.8869,0.885,0.885
976748400,0.8869,0.8981,0.8869,0.8981
976834800,0.8981,0.9085,0.8981,0.9065
977094000,0.9085,0.9085,0.9025,0.9025
977266800,0.9056,0.916,0.8992,0.9145
977353200,0.9056,0.924,0.9056,0.9205
977439600,0.9226,0.9331,0.9205,0.932
977785200,0.9226,0.9379,0.9226,0.9379
977871600,0.9377,0.9399,0.9377,0.9383
978044400,0.9391,0.9391,0.937,0.937
978390000,0.9391,0.9575,0.9391,0.9547
978476400,0.9476,0.9612,0.9385,0.9572
978562800,0.9572,0.9574,0.9515,0.9562
978649200,0.9528,0.9636,0.9528,0.9633
978908400,0.9573,0.9636,0.9545,0.9557
978994800,0.9573,0.9573,0.946,0.9463
979081200,0.9463,0.9485,0.9446,0.945
979167600,0.9463,0.9603,0.9463,0.9588
979254000,0.956,0.958,0.9534,0.954
979599600,0.9565,0.9565,0.9435,0.9473
979686000,0.9473,0.9473,0.9372,0.9465
979772400,0.9473,0.9497,0.9466,0.947
979858800,0.948,0.948,0.9395,0.941
980118000,0.9443,0.9443,0.9335,0.9396
980204400,0.9396,0.9442,0.9396,0.9442
980290800,0.9442,0.9442,0.9285,0.9285
980377200,0.9442,0.9442,0.9205,0.9274
980463600,0.926,0.929,0.9252,0.926
980722800,0.926,0.929,0.9226,0.9226
980809200,0.926,0.926,0.9222,0.9222
980895600,0.9369,0.9375,0.9325,0.9375
980982000,0.9369,0.9452,0.9325,0.9447
981068400,0.9369,0.9454,0.9325,0.9454
981327600,0.9425,0.9433,0.9422,0.9422
981414000,0.9425,0.9433,0.934,0.934
981500400,0.9372,0.9372,0.9345,0.9372
981586800,0.9372,0.9372,0.9215,0.9215
981673200,0.927,0.93,0.927,0.927
981932400,0.927,0.9355,0.927,0.9355
982018800,0.927,0.9355,0.9215,0.9344
982105200,0.9221,0.9238,0.9213,0.9223
982191600,0.91,0.91,0.906,0.906
982278000,0.92,0.9202,0.9177,0.9202
982623600,0.9095,0.9202,0.909,0.9095
982710000,0.9186,0.9186,0.91,0.9186
982796400,0.9045,0.91,0.9045,0.9068
982882800,0.911,0.9215,0.911,0.911
983142000,0.911,0.9215,0.91,0.9138
983228400,0.911,0.9215,0.91,0.913
983314800,0.9238,0.9243,0.9215,0.9223
983401200,0.9238,0.9324,0.9215,0.9322
983487600,0.9379,0.938,0.9333,0.9352
983746800,0.9302,0.9308,0.9302,0.9308
983833200,0.9302,0.9344,0.9302,0.9344
983919600,0.929,0.929,0.929,0.929
984006000,0.933,0.9333,0.9294,0.9299
984092400,0.933,0.9332,0.9294,0.9332
984351600,0.9285,0.932,0.9283,0.932
984438000,0.9212,0.9213,0.9155,0.9198
984524400,0.9143,0.9143,0.911,0.9112
984610800,0.906,0.9143,0.899,0.899
984697200,0.8997,0.9071,0.8925,0.8963
984956400,0.8982,0.9001,0.8982,0.9001
985042800,0.9033,0.9088,0.902,0.9088
985129200,0.8992,0.8995,0.895,0.8965
985215600,0.89,0.89,0.8845,0.8891
985302000,0.8945,0.8945,0.8903,0.8903
985561200,0.897,0.897,0.8955,0.8955
985647600,0.8935,0.8995,0.892,0.8941
985734000,0.8887,0.8894,0.8885,0.8888
985820400,0.8874,0.8874,0.882,0.8838
985906800,0.8832,0.8855,0.8772,0.8779
986162400,0.8805,0.8832,0.8789,0.8805
986248800,0.8805,0.8968,0.8789,0.8968
986335200,0.8805,0.9031,0.8805,0.9031
