time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
968709600,0.878,0.878,0.873,0.873,94,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,180
968796000,0.8765,0.8771,0.875,0.8771,80,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,290
968968800,0.8715,0.8715,0.8715,0.8715,110,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969228000,0.8715,0.8715,0.8675,0.8675,110,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969314400,0.8715,0.8715,0.8635,0.8665,110,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969400800,0.8715,0.8715,0.8595,0.8625,110,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969487200,0.8715,0.872,0.8595,0.87,100,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969573600,0.9015,0.9015,0.8935,0.9015,100,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969832800,0.9015,0.9015,0.8865,0.8885,100,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969919200,0.9015,0.9015,0.8865,0.894,100,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970005600,0.9015,0.9015,0.894,0.8959,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970092000,0.9015,0.9015,0.897,0.897,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970178400,0.897,0.897,0.89,0.8953,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970437600,0.8953,0.8965,0.8935,0.8935,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970524000,0.8935,0.8965,0.888,0.888,5,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970610400,0.889,0.889,0.887,0.889,5,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,165
970696800,0.889,0.889,0.888,0.888,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,165
970783200,0.8825,0.883,0.8808,0.8808,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971128800,0.8825,0.884,0.8808,0.884,1,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971215200,0.8825,0.8842,0.8825,0.8842,0,51.35,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971301600,0.8825,0.8842,0.8755,0.8755,0,46.65,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971388000,0.8825,0.8842,0.8675,0.8675,36,44.45,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971647200,0.861,0.8615,0.861,0.861,36,40.75,0,NaN,NaN,NaN,NaN,NaN,NaN,202
971733600,0.861,0.866,0.861,0.866,42,37.35,0,NaN,NaN,NaN,NaN,NaN,NaN,202
971820000,0.8445,0.8495,0.8445,0.845,44,34.05,0,NaN,NaN,NaN,NaN,NaN,NaN,217
971906400,0.8445,0.8545,0.8445,0.8545,8,28.95,0,NaN,NaN,NaN,NaN,NaN,NaN,217
971992800,0.85,0.8532,0.85,0.85,8,24.35,0,NaN,NaN,NaN,NaN,NaN,NaN,207
972252000,0.85,0.8528,0.85,0.8528,8,19.75,0,NaN,NaN,NaN,NaN,NaN,NaN,207
