time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
967759200,0.878,0.9015,0.8595,0.8953,1014,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970437600,0.8953,0.8965,0.8377,0.8586,218,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,210
973033200,0.871,0.88,0.84,0.88,196,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,261
975625200,0.88,0.9399,0.88,0.937,1807,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,609
978303600,0.9391,0.9636,0.9205,0.9375,1263,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,852
980982000,0.9369,0.9454,0.9045,0.9223,518,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,886
983401200,0.9238,0.938,0.8772,0.8779,1380,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
986162400,0.8805,0.906,0.8728,0.8896,73,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
988668000,0.8925,0.8927,0.8447,0.8447,203,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
991346400,0.846,0.8658,0.8395,0.8482,740,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0
994024800,0.8486,0.8814,0.8342,0.8742,555,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
996616800,0.8753,0.9233,0.8733,0.9097,629,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
999468000,0.9092,0.931,0.8824,0.9084,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1001887200,0.9088,0.9221,0.8853,0.8984,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1004569200,0.8988,0.9105,0.8731,0.8954,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1007334000,0.8954,0.9051,0.8713,0.8878,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1009839600,0.898,0.904,0.8554,0.8568,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1012518000,0.8577,0.8788,0.8549,0.8682,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1014937200,0.8688,0.8842,0.8627,0.8682,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1017615600,0.8688,0.9027,0.8686,0.899,0,429.8,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1020204000,0.8986,0.9407,0.8979,0.9317,0,379.1,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1023055200,0.9323,0.9956,0.9299,0.9885,0,368.2,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1025474400,0.9884,1.0185,0.9686,0.9749,0,358.4,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1028152800,0.9754,0.9899,0.9606,0.9802,0,268.05,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1030917600,0.9817,0.999,0.9571,0.9834,0,204.9,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1033423200,0.9837,0.9901,0.9666,0.9871,0,179,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1036105200,0.9886,1.0153,0.9866,0.9935,0,110,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1038783600,0.9935,1.0472,0.9854,1.0471,0,106.35,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1041375600,1.0444,1.0885,1.0305,1.0736,0,96.2,0,NaN,NaN,NaN,NaN,NaN,NaN,0
