time,open,high,low,close
968623200,0.878,0.878,0.8715,0.8715
969228000,0.8715,0.9015,0.8595,0.9015
969832800,0.9015,0.9015,0.8865,0.8953
970437600,0.8953,0.8965,0.8808,0.8808
971042400,0.8825,0.8842,0.8675,0.8675
971647200,0.861,0.866,0.8445,0.85
972252000,0.85,0.8528,0.8377,0.8513
972860400,0.853,0.876,0.853,0.875
973465200,0.84,0.876,0.84,0.873
974070000,0.8716,0.8716,0.84,0.8595
974674800,0.84,0.8595,0.84,0.8501
975279600,0.85,0.8875,0.85,0.8821
975884400,0.8821,0.905,0.8821,0.8952
976489200,0.9028,0.9085,0.885,0.9065
977094000,0.9085,0.9331,0.8992,0.932
977698800,0.9226,0.9399,0.9226,0.937
978303600,0.9391,0.9636,0.9385,0.9633
978908400,0.9573,0.9636,0.9446,0.954
979513200,0.9565,0.9565,0.9372,0.941
980118000,0.9443,0.9443,0.9205,0.926
980722800,0.926,0.9454,0.9222,0.9454
981327600,0.9425,0.9433,0.9215,0.927
981932400,0.927,0.9355,0.906,0.9202
982537200,0.9095,0.9215,0.9045,0.911
983142000,0.911,0.938,0.91,0.9352
983746800,0.9302,0.9344,0.929,0.9332
984351600,0.9285,0.932,0.8925,0.8963
984956400,0.8982,0.9088,0.8845,0.8903
985561200,0.897,0.8995,0.8772,0.8779
986162400,0.8805,0.906,0.8789,0.9032
986767200,0.8954,0.8986,0.8872,0.8917
987372000,0.8954,0.9028,0.8728,0.9028
987976800,0.8788,0.9023,0.8788,0.8896
988581600,0.8925,0.8927,0.8881,0.8927
989186400,0.8925,0.8925,0.8749,0.8749
989791200,0.8777,0.8831,0.873,0.8782
990396000,0.8799,0.8799,0.85,0.8568
991000800,0.8578,0.8578,0.844,0.8465
991605600,0.845,0.8585,0.8415,0.8499
992210400,0.849,0.8658,0.8395,0.8601
992815200,0.8616,0.8628,0.8481,0.8543
993420000,0.8552,0.8648,0.8423,0.8482
994024800,0.8486,0.8494,0.8342,0.8461
994629600,0.8462,0.8629,0.8433,0.8528
995234400,0.8534,0.8775,0.8486,0.8704
995839200,0.8696,0.8814,0.8644,0.8754
996444000,0.8756,0.8864,0.8714,0.8833
997048800,0.8824,0.895,0.8733,0.8925
997653600,0.893,0.9196,0.8917,0.9167
998258400,0.9165,0.9233,0.9072,0.9125
998863200,0.9133,0.9199,0.9024,0.9097
999468000,0.9092,0.91,0.8824,0.9051
1000072800,0.9063,0.9227,0.8954,0.9193
1000677600,0.9208,0.931,0.9069,0.9109
1001282400,0.9116,0.9228,0.9059,0.9084
1001887200,0.9088,0.9212,0.9044,0.9151
1002492000,0.9171,0.9221,0.897,0.907
1003096800,0.9093,0.9118,0.8947,0.8975
1003701600,0.897,0.8984,0.8853,0.8902
1004310000,0.8913,0.9105,0.891,0.9009
1004914800,0.8999,0.9033,0.888,0.8923
1005519600,0.8934,0.9009,0.876,0.8837
1006124400,0.8834,0.8843,0.8731,0.8777
1006729200,0.8772,0.8975,0.8731,0.8954
1007334000,0.8954,0.8964,0.8844,0.8894
1007938800,0.8894,0.9021,0.8839,0.901
1008543600,0.9006,0.9051,0.8828,0.8841
1009148400,0.8858,0.8878,0.8713,0.8813
1009753200,0.8818,0.904,0.88,0.8927
1010358000,0.8926,0.897,0.8837,0.8897
1010962800,0.8913,0.8929,0.877,0.8825
1011567600,0.8818,0.8868,0.8614,0.863
1012172400,0.8624,0.8656,0.8549,0.8601
1012777200,0.8601,0.874,0.8593,0.872
1013382000,0.8697,0.8788,0.867,0.8717
1013986800,0.8722,0.8774,0.8655,0.8749
1014591600,0.8746,0.8748,0.861,0.8646
1015196400,0.865,0.8838,0.8627,0.8732
1015801200,0.8739,0.8842,0.8704,0.8791
1016406000,0.8785,0.883,0.872,0.8738
1017010800,0.8739,0.877,0.8674,0.8682
1017615600,0.8688,0.8831,0.8686,0.8767
1018216800,0.8767,0.8823,0.8711,0.8769
1018821600,0.877,0.8902,0.8766,0.8896
1019426400,0.888,0.9006,0.8842,0.8996
1020031200,0.8994,0.9158,0.8974,0.915
1020636000,0.9151,0.9174,0.902,0.9122
1021240800,0.9116,0.9207,0.8987,0.9203
1021845600,0.92,0.9268,0.9151,0.9202
1022450400,0.92,0.9407,0.9175,0.9317
1023055200,0.9323,0.9487,0.9299,0.9438
1023660000,0.9428,0.9504,0.9377,0.9416
1024264800,0.9408,0.9682,0.9374,0.9665
1024869600,0.9669,0.9956,0.9626,0.9885
1025474400,0.9884,0.994,0.9686,0.9701
1026079200,0.9715,0.9939,0.9712,0.9878
1026684000,0.9888,1.0185,0.9888,1.011
1027288800,1.0071,1.0109,0.9821,0.985
1027893600,0.9853,0.9899,0.9707,0.9848
1028498400,0.9849,0.9857,0.9606,0.969
1029103200,0.969,0.9881,0.9684,0.9825
1029708000,0.9832,0.986,0.9647,0.9711
1030312800,0.9723,0.9883,0.9676,0.9802
1030917600,0.9817,0.999,0.9792,0.9806
1031522400,0.981,0.9834,0.9666,0.9688
1032127200,0.9681,0.9841,0.9571,0.977
1032732000,0.9771,0.9824,0.9685,0.9762
1033336800,0.9776,0.9879,0.9753,0.9769
1033941600,0.9769,0.9901,0.9736,0.9835
1034546400,0.9846,0.987,0.9672,0.9694
1035151200,0.9698,0.978,0.9666,0.9747
1035759600,0.9745,0.9985,0.9708,0.9946
1036364400,0.9952,1.0129,0.9913,1.0112
1036969200,1.0108,1.0153,0.9997,1.0073
1037574000,1.008,1.0128,0.995,0.9959
1038178800,0.9955,0.996,0.9866,0.9935
1038783600,0.9935,1.0127,0.9854,1.0088
1039388400,1.0097,1.022,1.0059,1.0184
1039993200,1.0192,1.0296,1.0156,1.0231
1040598000,1.0231,1.0408,1.018,1.0406
1041202800,1.0391,1.0472,1.0305,1.0383
1041807600,1.0392,1.0557,1.0332,1.0556
1042412400,1.0552,1.0654,1.0477,1.0629
1043017200,1.0633,1.0828,1.0607,1.0815
1043622000,1.0812,1.0885,1.0704,1.0736
1044226800,1.0767,1.0919,1.0674,1.0815
1044831600,1.0811,1.0845,1.065,1.0762
1045436400,1.0761,1.0837,1.0656,1.0756
1046041200,1.0716,1.083,1.0701,1.0795
1046646000,1.0772,1.1064,1.0763,1.1008
1047250800,1.1011,1.1082,1.0651,1.0707
1047855600,1.0752,1.0809,1.047,1.05
1048460400,1.0555,1.0772,1.0536,1.0751
1049065200,1.0757,1.0931,1.0656,1.0702
1049666400,1.0645,1.0806,1.0534,1.0727
1050271200,1.0712,1.0938,1.0693,1.0859
1050876000,1.0882,1.1032,1.0801,1.1005
1051480800,1.1014,1.1256,1.0915,1.1211
1052085600,1.1204,1.1522,1.119,1.1475
1052690400,1.1539,1.161,1.1352,1.1565
1053295200,1.164,1.1827,1.1593,1.1793
1053900000,1.1814,1.1928,1.1685,1.1783
1054504800,1.1723,1.1888,1.1629,1.1698
1055109600,1.1699,1.1844,1.1657,1.1835
1055714400,1.1843,1.1896,1.152,1.155
1056319200,1.1545,1.1593,1.1362,1.1392
1056924000,1.1406,1.1585,1.1376,1.1461
1057528800,1.1457,1.1457,1.1236,1.1291
1058133600,1.1271,1.1317,1.1093,1.1269
1058738400,1.1239,1.1534,1.1226,1.1492
1059343200,1.1486,1.1525,1.1121,1.1248
1059948000,1.1268,1.1413,1.1247,1.1282
1060552800,1.1292,1.1369,1.121,1.1242
1061157600,1.1257,1.126,1.083,1.0878
1061762400,1.0852,1.0994,1.0786,1.0966
1062367200,1.0984,1.1111,1.0759,1.1103
1062972000,1.1094,1.1296,1.1045,1.1257
1063576800,1.1228,1.1356,1.1112,1.1328
1064181600,1.1352,1.1511,1.1352,1.1445
1064786400,1.143,1.1746,1.1372,1.1537
1065391200,1.1549,1.184,1.151,1.1784
1065996000,1.1784,1.1794,1.1528,1.1634
1066600800,1.1676,1.1842,1.1583,1.1797
1067209200,1.1757,1.1767,1.1551,1.1559
1067814000,1.1564,1.1607,1.1365,1.152
1068418800,1.1494,1.1795,1.1435,1.1759
1069023600,1.1813,1.197,1.1718,1.1909
1069628400,1.1901,1.201,1.1747,1.1984
1070233200,1.1991,1.2174,1.1932,1.2162
1070838000,1.2162,1.2276,1.2114,1.2263
1071442800,1.2125,1.241,1.2115,1.2358
1072047600,1.2335,1.2444,1.232,1.2408
1072652400,1.2404,1.2623,1.24,1.2576
1073257200,1.2607,1.2847,1.2537,1.2818
1073862000,1.2827,1.2875,1.2332,1.2357
1074466800,1.237,1.2758,1.2315,1.258
1075071600,1.2564,1.2639,1.2335,1.2448
1075676400,1.2471,1.2714,1.2375,1.268
1076281200,1.2615,1.2886,1.2612,1.2725
1076886000,1.2719,1.2919,1.2487,1.2507
1077490800,1.2507,1.2707,1.2365,1.2489
1078095600,1.249,1.2536,1.2052,1.2371
1078700400,1.2379,1.2456,1.2143,1.2192
1079305200,1.2186,1.2401,1.2146,1.2249
1079910000,1.225,1.2375,1.2046,1.2092
1080514800,1.2105,1.2366,1.2025,1.2111
1081116000,1.2088,1.2198,1.1959,1.2056
1081720800,1.2059,1.208,1.1848,1.1971
1082325600,1.2,1.2063,1.1764,1.1822
1082930400,1.1796,1.1998,1.1745,1.1969
1083535200,1.1988,1.2178,1.1864,1.1881
1084140000,1.1865,1.1931,1.1752,1.1871
1084744800,1.1881,1.2064,1.187,1.1999
1085349600,1.1988,1.229,1.1925,1.221
1085954400,1.223,1.2302,1.213,1.2288
1086559200,1.2288,1.235,1.1946,1.1988
1087164000,1.1973,1.215,1.1936,1.2121
1087768800,1.2122,1.2177,1.2025,1.2141
1088373600,1.2155,1.2313,1.2051,1.2309
