time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
968623200,0.878,0.878,0.8715,0.8715,284,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969228000,0.8715,0.9015,0.8595,0.9015,530,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
969832800,0.9015,0.9015,0.8865,0.8953,200,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,160
970437600,0.8953,0.8965,0.8808,0.8808,12,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971042400,0.8825,0.8842,0.8675,0.8675,37,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,166
971647200,0.861,0.866,0.8445,0.85,138,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,207
972252000,0.85,0.8528,0.8377,0.8513,25,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,210
972860400,0.853,0.876,0.853,0.875,9,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,210
973465200,0.84,0.876,0.84,0.873,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,210
974070000,0.8716,0.8716,0.84,0.8595,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,210
974674800,0.84,0.8595,0.84,0.8501,44,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,231
975279600,0.85,0.8875,0.85,0.8821,280,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,257
975884400,0.8821,0.905,0.8821,0.8952,258,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,392
976489200,0.9028,0.9085,0.885,0.9065,190,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,532
977094000,0.9085,0.9331,0.8992,0.932,322,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,596
977698800,0.9226,0.9399,0.9226,0.937,906,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,609
978303600,0.9391,0.9636,0.9385,0.9633,703,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,862
978908400,0.9573,0.9636,0.9446,0.954,458,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,815
979513200,0.9565,0.9565,0.9372,0.941,75,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,850
980118000,0.9443,0.9443,0.9205,0.926,7,223.9,0,NaN,NaN,NaN,NaN,NaN,NaN,853
980722800,0.926,0.9454,0.9222,0.9454,23,210.85,0,NaN,NaN,NaN,NaN,NaN,NaN,851
981327600,0.9425,0.9433,0.9215,0.927,6,184.65,0,NaN,NaN,NaN,NaN,NaN,NaN,860
981932400,0.927,0.9355,0.906,0.9202,485,198.9,0,NaN,NaN,NaN,NaN,NaN,NaN,870
982537200,0.9095,0.9215,0.9045,0.911,16,199.1,0,NaN,NaN,NaN,NaN,NaN,NaN,882
983142000,0.911,0.938,0.91,0.9352,202,207.35,0,NaN,NaN,NaN,NaN,NaN,NaN,970
983746800,0.9302,0.9344,0.929,0.9332,394,220.15,0,NaN,NaN,NaN,NaN,NaN,NaN,1137
984351600,0.9285,0.932,0.8925,0.8963,406,239.2,0,NaN,NaN,NaN,NaN,NaN,NaN,1318
984956400,0.8982,0.9088,0.8845,0.8903,342,255.85,0,NaN,NaN,NaN,NaN,NaN,NaN,1413
985561200,0.897,0.8995,0.8772,0.8779,44,258.05,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
986162400,0.8805,0.906,0.8789,0.9032,46,260.35,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
986767200,0.8954,0.8986,0.8872,0.8917,8,258.55,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
987372000,0.8954,0.9028,0.8728,0.9028,14,245.25,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
987976800,0.8788,0.9023,0.8788,0.8896,5,232.6,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
988581600,0.8925,0.8927,0.8881,0.8927,4,223.3,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
989186400,0.8925,0.8925,0.8749,0.8749,13,207.85,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
989791200,0.8777,0.8831,0.873,0.8782,23,163.7,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
990396000,0.8799,0.8799,0.85,0.8568,66,131.85,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
991000800,0.8578,0.8578,0.844,0.8465,134,115.65,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
991605600,0.845,0.8585,0.8415,0.8499,185,121.15,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
992210400,0.849,0.8658,0.8395,0.8601,185,130.05,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
992815200,0.8616,0.8628,0.8481,0.8543,185,138.15,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
993420000,0.8552,0.8648,0.8423,0.8482,148,145.25,0,NaN,NaN,NaN,NaN,NaN,NaN,0
994024800,0.8486,0.8494,0.8342,0.8461,0,121,0,NaN,NaN,NaN,NaN,NaN,NaN,0
994629600,0.8462,0.8629,0.8433,0.8528,111,125.75,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
995234400,0.8534,0.8775,0.8486,0.8704,185,124.9,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
995839200,0.8696,0.8814,0.8644,0.8754,185,114.45,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
996444000,0.8756,0.8864,0.8714,0.8833,185,103.4,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
997048800,0.8824,0.895,0.8733,0.8925,185,95.55,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
997653600,0.893,0.9196,0.8917,0.9167,185,102.6,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
998258400,0.9165,0.9233,0.9072,0.9125,148,107.7,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
998863200,0.9133,0.9199,0.9024,0.9097,0,107.3,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
999468000,0.9092,0.91,0.8824,0.9051,0,106.6,0,NaN,NaN,NaN,NaN,NaN,NaN,1419
1000072800,0.9063,0.9227,0.8954,0.9193,0,106.35,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1000677600,0.9208,0.931,0.9069,0.9109,0,106.15,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1001282400,0.9116,0.9228,0.9059,0.9084,0,105.5,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1001887200,0.9088,0.9212,0.9044,0.9151,0,104.35,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1002492000,0.9171,0.9221,0.897,0.907,0,101.05,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1003096800,0.9093,0.9118,0.8947,0.8975,0,94.35,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1003701600,0.897,0.8984,0.8853,0.8902,0,85.1,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1004310000,0.8913,0.9105,0.891,0.9009,0,75.85,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1004914800,0.8999,0.9033,0.888,0.8923,0,66.6,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1005519600,0.8934,0.9009,0.876,0.8837,0,59.2,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1006124400,0.8834,0.8843,0.8731,0.8777,0,59.2,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1006729200,0.8772,0.8975,0.8731,0.8954,0,53.65,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1007334000,0.8954,0.8964,0.8844,0.8894,0,44.4,0,NaN,NaN,NaN,NaN,NaN,NaN,169
1007938800,0.8894,0.9021,0.8839,0.901,0,35.15,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1008543600,0.9006,0.9051,0.8828,0.8841,0,25.9,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1009148400,0.8858,0.8878,0.8713,0.8813,0,16.65,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1009753200,0.8818,0.904,0.88,0.8927,0,7.4,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1010358000,0.8926,0.897,0.8837,0.8897,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1010962800,0.8913,0.8929,0.877,0.8825,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1011567600,0.8818,0.8868,0.8614,0.863,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1012172400,0.8624,0.8656,0.8549,0.8601,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1012777200,0.8601,0.874,0.8593,0.872,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1013382000,0.8697,0.8788,0.867,0.8717,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1013986800,0.8722,0.8774,0.8655,0.8749,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1014591600,0.8746,0.8748,0.861,0.8646,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1015196400,0.865,0.8838,0.8627,0.8732,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1015801200,0.8739,0.8842,0.8704,0.8791,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1016406000,0.8785,0.883,0.872,0.8738,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1017010800,0.8739,0.877,0.8674,0.8682,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1017615600,0.8688,0.8831,0.8686,0.8767,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1018216800,0.8767,0.8823,0.8711,0.8769,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1018821600,0.877,0.8902,0.8766,0.8896,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1019426400,0.888,0.9006,0.8842,0.8996,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1020031200,0.8994,0.9158,0.8974,0.915,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1020636000,0.9151,0.9174,0.902,0.9122,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1021240800,0.9116,0.9207,0.8987,0.9203,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1021845600,0.92,0.9268,0.9151,0.9202,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1022450400,0.92,0.9407,0.9175,0.9317,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1023055200,0.9323,0.9487,0.9299,0.9438,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1023660000,0.9428,0.9504,0.9377,0.9416,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1024264800,0.9408,0.9682,0.9374,0.9665,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1024869600,0.9669,0.9956,0.9626,0.9885,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
1025474400,0.9884,0.994,0.9686,0.9701,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
