ts,symbol,open,high,low,close,volume
2025-01-01T00:00:00Z,EURUSD,1.1000,1.1003,1.0998,1.1000,110
2025-01-01T00:01:00Z,EURUSD,1.1001,1.1005,1.0999,1.1001,114
2025-01-01T00:02:00Z,EURUSD,1.1002,1.1006,1.1000,1.1003,119
2025-01-01T00:03:00Z,EURUSD,1.1003,1.1008,1.1001,1.1004,124
2025-01-01T00:04:00Z,EURUSD,1.1004,1.1009,1.1002,1.1005,129
2025-01-01T00:05:00Z,EURUSD,1.1005,1.1010,1.1002,1.1006,133
2025-01-01T00:06:00Z,EURUSD,1.1005,1.1011,1.1003,1.1007,138
2025-01-01T00:07:00Z,EURUSD,1.1006,1.1012,1.1003,1.1008,121
2025-01-01T00:08:00Z,EURUSD,1.1006,1.1012,1.1004,1.1008,125
2025-01-01T00:09:00Z,EURUSD,1.1006,1.1012,1.1004,1.1008,129
2025-01-01T00:10:00Z,EURUSD,1.1006,1.1012,1.1004,1.1008,133
2025-01-01T00:11:00Z,EURUSD,1.1006,1.1012,1.1003,1.1008,136
2025-01-01T00:12:00Z,EURUSD,1.1006,1.1011,1.1003,1.1008,139
2025-01-01T00:13:00Z,EURUSD,1.1006,1.1011,1.1003,1.1008,142
2025-01-01T00:14:00Z,EURUSD,1.1006,1.1010,1.1002,1.1007,124
2025-01-01T00:15:00Z,EURUSD,1.1005,1.1009,1.1002,1.1006,127
2025-01-01T00:16:00Z,EURUSD,1.1005,1.1008,1.1001,1.1006,129
2025-01-01T00:17:00Z,EURUSD,1.1004,1.1007,1.1000,1.1005,131
2025-01-01T00:18:00Z,EURUSD,1.1004,1.1006,1.1000,1.1004,133
2025-01-01T00:19:00Z,EURUSD,1.1003,1.1005,1.0999,1.1003,135
2025-01-01T00:20:00Z,EURUSD,1.1003,1.1005,1.0998,1.1002,136
2025-01-01T00:21:00Z,EURUSD,1.1002,1.1004,1.0998,1.1002,117
2025-01-01T00:22:00Z,EURUSD,1.1002,1.1004,1.0997,1.1001,118
2025-01-01T00:23:00Z,EURUSD,1.1002,1.1004,1.0996,1.1000,119
2025-01-01T00:24:00Z,EURUSD,1.1002,1.1004,1.0996,1.1000,121
2025-01-01T00:25:00Z,EURUSD,1.1001,1.1004,1.0996,1.1000,122
2025-01-01T00:26:00Z,EURUSD,1.1001,1.1005,1.0996,1.1000,123
2025-01-01T00:27:00Z,EURUSD,1.1002,1.1005,1.0996,1.1000,124
2025-01-01T00:28:00Z,EURUSD,1.1002,1.1005,1.0996,1.1000,104
2025-01-01T00:29:00Z,EURUSD,1.1002,1.1006,1.0996,1.1000,106
2025-01-01T00:30:00Z,EURUSD,1.1002,1.1006,1.0997,1.1000,107
2025-01-01T00:31:00Z,EURUSD,1.1002,1.1006,1.0997,1.1001,108
2025-01-01T00:32:00Z,EURUSD,1.1003,1.1007,1.0998,1.1001,110
2025-01-01T00:33:00Z,EURUSD,1.1003,1.1007,1.0998,1.1001,112
2025-01-01T00:34:00Z,EURUSD,1.1003,1.1007,1.0999,1.1002,114
2025-01-01T00:35:00Z,EURUSD,1.1003,1.1007,1.1000,1.1002,95
2025-01-01T00:36:00Z,EURUSD,1.1003,1.1006,1.1000,1.1003,98
2025-01-01T00:37:00Z,EURUSD,1.1003,1.1006,1.1000,1.1003,101
2025-01-01T00:38:00Z,EURUSD,1.1003,1.1006,1.1000,1.1003,104
2025-01-01T00:39:00Z,EURUSD,1.1002,1.1006,1.1000,1.1003,107
2025-01-01T00:40:00Z,EURUSD,1.1002,1.1005,1.1000,1.1003,110
2025-01-01T00:41:00Z,EURUSD,1.1001,1.1005,1.0999,1.1003,114
2025-01-01T00:42:00Z,EURUSD,1.1001,1.1004,1.0999,1.1002,97
2025-01-01T00:43:00Z,EURUSD,1.1000,1.1004,1.0998,1.1002,101
2025-01-01T00:44:00Z,EURUSD,1.0999,1.1003,1.0997,1.1001,105
2025-01-01T00:45:00Z,EURUSD,1.0998,1.1002,1.0996,1.1000,109
2025-01-01T00:46:00Z,EURUSD,1.0997,1.1002,1.0995,1.0999,114
2025-01-01T00:47:00Z,EURUSD,1.0997,1.1001,1.0994,1.0999,119
2025-01-01T00:48:00Z,EURUSD,1.0996,1.1000,1.0994,1.0998,123
2025-01-01T00:49:00Z,EURUSD,1.0995,1.0999,1.0993,1.0997,107
2025-01-01T00:50:00Z,EURUSD,1.0994,1.0999,1.0992,1.0996,112
2025-01-01T00:51:00Z,EURUSD,1.0993,1.0998,1.0991,1.0995,117
2025-01-01T00:52:00Z,EURUSD,1.0993,1.0998,1.0990,1.0994,122
2025-01-01T00:53:00Z,EURUSD,1.0992,1.0997,1.0990,1.0994,127
2025-01-01T00:54:00Z,EURUSD,1.0992,1.0997,1.0989,1.0993,131
2025-01-01T00:55:00Z,EURUSD,1.0992,1.0996,1.0989,1.0993,136
2025-01-01T00:56:00Z,EURUSD,1.0992,1.0996,1.0989,1.0992,119
2025-01-01T00:57:00Z,EURUSD,1.0992,1.0996,1.0989,1.0992,124
2025-01-01T00:58:00Z,EURUSD,1.0993,1.0997,1.0989,1.0992,128
2025-01-01T00:59:00Z,EURUSD,1.0993,1.0997,1.0989,1.0992,132
2025-01-01T01:00:00Z,EURUSD,1.0994,1.0997,1.0989,1.0993,136
