symbol,name,exchange,currency,marketType,defaultBroker
TAOUSDT,TAO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
SOLUSDT,SOL,BINANCE,USDT,CRYPTO_SPOT,BINANCE
NEARUSDT,NEAR,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ARUSDT,AR,BINANCE,USDT,CRYPTO_SPOT,BINANCE
AVAXUSDT,AVAX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ONDOUSDT,ONDO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
IMXUSDT,IMX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
JUPUSDT,JUP,BINANCE,USDT,CRYPTO_SPOT,BINANCE
LINKUSDT,LINK,BINANCE,USDT,CRYPTO_SPOT,BINANCE
BNBUSDT,BNB,BINANCE,USDT,CRYPTO_SPOT,BINANCE
FETUSDT,FET,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ETHFIUSDT,ETHFI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
OCEANUSDT,OCEAN,BINANCE,USDT,CRYPTO_SPOT,BINANCE
INJUSDT,INJ,BINANCE,USDT,CRYPTO_SPOT,BINANCE
STXUSDT,STX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
XMRUSDT,XMR,BINANCE,USDT,CRYPTO_SPOT,BINANCE
CROUSDT,CRO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ALTUSDT,ALT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
TRIBEUSDT,TRIBE,BINANCE,USDT,CRYPTO_SPOT,BINANCE
PYTHUSDT,PYTH,BINANCE,USDT,CRYPTO_SPOT,BINANCE
OKBUSDT,OKB,BINANCE,USDT,CRYPTO_SPOT,BINANCE
GRTUSDT,GRT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
SUIUSDT,SUI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
AEVOUSDT,AEVO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
PENDLEUSDT,PENDLE,BINANCE,USDT,CRYPTO_SPOT,BINANCE
POLYXUSDT,POLYX,BINANCE,USDT,CRYPTO_SPOT,BINANCE
AIUSDT,AI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
APTUSDT,APT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
RNDRSOLUSDT,RNDR (SOL),BINANCE,USDT,CRYPTO_SPOT,BINANCE
NAVIUSDT,NAVI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
DOTUSDT,DOT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
BGBUSDT,BGB,BINANCE,USDT,CRYPTO_SPOT,BINANCE
NCTUSDT,NCT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ZKPUSDT,ZKP,BINANCE,USDT,CRYPTO_SPOT,BINANCE
PRIMEUSDT,PRIME,BINANCE,USDT,CRYPTO_SPOT,BINANCE
PIXELUSDT,PIXEL,BINANCE,USDT,CRYPTO_SPOT,BINANCE
DOGEUSDT,DOGE,BINANCE,USDT,CRYPTO_SPOT,BINANCE
DEGENUSDT,DEGEN,BINANCE,USDT,CRYPTO_SPOT,BINANCE
CHRUSDT,CHR,BINANCE,USDT,CRYPTO_SPOT,BINANCE
JOEUSDT,JOE,BINANCE,USDT,CRYPTO_SPOT,BINANCE
HUDIUSDT,HUDI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
FXSUSDT,FXS,BINANCE,USDT,CRYPTO_SPOT,BINANCE
WUSDT,W,BINANCE,USDT,CRYPTO_SPOT,BINANCE
RONINUSDT,RONIN,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ORDIUSDT,ORDI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
CFGUSDT,CFG,BINANCE,USDT,CRYPTO_SPOT,BINANCE
AKTUSDT,AKT,BINANCE,USDT,CRYPTO_SPOT,BINANCE
MASKUSDT,MASK,BINANCE,USDT,CRYPTO_SPOT,BINANCE
UTKUSDT,UTK,BINANCE,USDT,CRYPTO_SPOT,BINANCE
MANTAUSDT,MANTA,BINANCE,USDT,CRYPTO_SPOT,BINANCE
FLOKIUSDT,FLOKI,BINANCE,USDT,CRYPTO_SPOT,BINANCE
OSMOUSDT,OSMO,BINANCE,USDT,CRYPTO_SPOT,BINANCE
