symbol,name,exchange,currency,marketType,defaultBroker
BTCUSDT,Bitcoin,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ETHUSDT,Ethereum,BINANCE,USDT,CRYPTO_SPOT,BINANCE
SOLUSDT,Solana,BINANCE,USDT,CRYPTO_SPOT,BINANCE
BNBUSDT,BNB,BINANCE,USDT,CRYPTO_SPOT,BINANCE
XRPUSDT,Ripple,BINANCE,USDT,CRYPTO_SPOT,BINANCE
ADAUSDT,Cardano,BINANCE,USDT,CRYPTO_SPOT,BINANCE
AVAXUSDT,Avalanche,BINANCE,USDT,CRYPTO_SPOT,BINANCE
DOGEUSDT,Dogecoin,BINANCE,USDT,CRYPTO_SPOT,BINANCE
LINKUSDT,Chainlink,BINANCE,USDT,CRYPTO_SPOT,BINANCE
TONUSDT,TON,BINANCE,USDT,CRYPTO_SPOT,BINANCE
