assetClass,currency,isin,name
ETF,EUR,LU1829221024,Amundi Nasdaq 100 UCITS ETF
ETF,EUR,IE00BJZ2DD79,Xtrackers Russell 2000 UCITS ETF
ETF,EUR,LU0322252171,Xtrackers MSCI AC Asia Ex Japan ESG Swap ETF
ETF,EUR,LU1681037609,Amundi Japan Topix UCITS ETF
ETF,USD,IE00BJ5JP105,iShares MSCI World Energy Sector UCITS ETF USD (Dist)
ETF,EUR,FR0011550193,BNP Paribas EASY STOXX Europe 600 UCITS
ETF,EUR,IE0002XZSHO1,iShares MSCI World Swap PEA UCITS ETF
ETF,USD,GB00B15KYG56,WisdomTree Industrial Metals
ETF,EUR,FR0011550185,BNP Paribas Easy S&P 500 UCITS
ETF,EUR,LU1681045370,Amundi MSCI Emerging Markets UCITS
ETF,USD,IE00BYZK4883,iShares Digitalisation UCITS ETF
ETF,EUR,NL0009690239,VanEck Global Real Estate UCITS ETF
ETF,EUR,IE00B1FZS467,iShares Global Infrastructure UCITS ETF
ETF,EUR,IE00BP3QZ601,iShares Edge MSCI World Quality Factor
ETF,USD,GB00B15KYH63,WisdomTree Agriculture
ETF,EUR,IE00B5L8K969,iShares MSCI EM Asia UCITS ETF (Acc)
ETF,EUR,IE00BF4RFH31,iShares MSCI World Small Cap (Acc)
ETF,EUR,IE000U58J0M1,iShares Global Clean Energy Transition (Acc)
ETF,EUR,LU2023678282,Amundi MSCI Disruptive Technologie (Acc)
